ccy_pair,month_end_date,spot_end,period_average
CNY/USD,1981-01-30,0.629485,0.644512
CNY/USD,1981-02-27,0.618085,0.619975
CNY/USD,1981-03-31,0.618620,0.613019
CNY/USD,1981-04-30,0.592347,0.600313
CNY/USD,1981-05-29,0.572082,0.579091
CNY/USD,1981-06-30,0.571070,0.568039
CNY/USD,1981-07-31,0.560381,0.566696
CNY/USD,1981-08-31,0.564111,0.555516
CNY/USD,1981-09-30,0.564366,0.570146
CNY/USD,1981-10-30,0.565675,0.569004
CNY/USD,1981-11-30,0.582377,0.574439
CNY/USD,1981-12-31,0.571461,0.574585
CNY/USD,1982-01-29,0.556328,0.564624
CNY/USD,1982-02-26,0.544811,0.549482
CNY/USD,1982-03-31,0.534131,0.542669
CNY/USD,1982-04-30,0.545464,0.538673
CNY/USD,1982-05-28,0.545524,0.551790
CNY/USD,1982-06-30,0.516582,0.526162
CNY/USD,1982-07-30,0.517813,0.518175
CNY/USD,1982-08-31,0.512794,0.514667
CNY/USD,1982-09-30,0.506765,0.511084
CNY/USD,1982-10-29,0.498853,0.502879
CNY/USD,1982-11-30,0.502361,0.499961
CNY/USD,1982-12-31,0.518807,0.514293
CNY/USD,1983-01-31,0.513769,0.519859
CNY/USD,1983-02-28,0.506688,0.508842
CNY/USD,1983-03-31,0.500225,0.504207
CNY/USD,1983-04-29,0.502285,0.501549
CNY/USD,1983-05-31,0.500275,0.502650
CNY/USD,1983-06-30,0.502816,0.501287
CNY/USD,1983-07-29,0.500375,0.500848
CNY/USD,1983-08-31,0.502462,0.503987
CNY/USD,1983-09-30,0.504999,0.503357
CNY/USD,1983-10-31,0.504032,0.508539
CNY/USD,1983-11-30,0.501505,0.501505
CNY/USD,1983-12-30,0.503550,0.502007
CNY/USD,1984-01-31,0.481000,0.488118
CNY/USD,1984-02-29,0.487353,0.484786
CNY/USD,1984-03-30,0.484520,0.484375
CNY/USD,1984-04-30,0.468845,0.477840
CNY/USD,1984-05-31,0.450999,0.457387
CNY/USD,1984-06-29,0.443872,0.450951
CNY/USD,1984-07-31,0.427826,0.434908
CNY/USD,1984-08-31,0.413291,0.421707
CNY/USD,1984-09-28,0.388410,0.392780
CNY/USD,1984-10-31,0.377843,0.377618
CNY/USD,1984-11-30,0.357743,0.373663
CNY/USD,1984-12-31,0.356799,0.357747
CNY/USD,1985-01-31,0.355025,0.355110
CNY/USD,1985-02-28,0.351902,0.352780
CNY/USD,1985-03-29,0.353744,0.350480
CNY/USD,1985-04-30,0.349736,0.351130
CNY/USD,1985-05-31,0.350779,0.350193
CNY/USD,1985-06-28,0.346608,0.348519
CNY/USD,1985-07-31,0.346620,0.347119
CNY/USD,1985-08-30,0.342841,0.343730
CNY/USD,1985-09-30,0.336078,0.336459
CNY/USD,1985-10-31,0.311575,0.325021
CNY/USD,1985-11-29,0.311575,0.311665
CNY/USD,1985-12-31,0.311575,0.311575
CNY/USD,1986-01-31,0.311575,0.311575
CNY/USD,1986-02-28,0.310955,0.311020
CNY/USD,1986-03-31,0.309713,0.310536
CNY/USD,1986-04-30,0.312510,0.311111
CNY/USD,1986-05-30,0.310646,0.312363
CNY/USD,1986-06-30,0.311886,0.311382
CNY/USD,1986-07-31,0.269331,0.275162
CNY/USD,1986-08-29,0.269331,0.269331
CNY/USD,1986-09-30,0.268528,0.269178
CNY/USD,1986-10-31,0.267996,0.268407
CNY/USD,1986-11-28,0.267996,0.267996
CNY/USD,1986-12-31,0.267996,0.267996
CNY/USD,1987-01-30,0.267996,0.267996
CNY/USD,1987-02-27,0.267996,0.267996
CNY/USD,1987-03-31,0.267996,0.267996
CNY/USD,1987-04-30,0.267996,0.267996
CNY/USD,1987-05-29,0.267996,0.267996
CNY/USD,1987-06-30,0.267996,0.267996
CNY/USD,1987-07-31,0.267996,0.267996
CNY/USD,1987-08-31,0.267996,0.267996
CNY/USD,1987-09-30,0.267996,0.267996
CNY/USD,1987-10-30,0.267996,0.267996
CNY/USD,1987-11-30,0.267996,0.267996
CNY/USD,1987-12-31,0.267996,0.267996
CNY/USD,1988-01-29,0.267996,0.267996
CNY/USD,1988-02-29,0.267996,0.267996
